epoch,stage,active_classes,category,upright_pct,inverted_pct,gap_pts
42,6,320,Houses,92.97,73.44,19.53
43,7,393,Faces,83.84,58.06,25.78
43,7,393,Objects,70.89,65.94,4.95
43,7,393,Houses,69.65,46.77,22.89
44,7,393,Faces,89.15,66.22,22.93
44,7,393,Objects,73.5,67.36,6.14
44,7,393,Houses,74.63,45.27,29.35
45,7,393,Faces,89.91,65.7,24.21
45,7,393,Objects,73.2,68.07,5.13
45,7,393,Houses,91.04,59.7,31.34
46,7,393,Faces,88.91,65.89,23.02
46,7,393,Objects,73.09,68.01,5.08
46,7,393,Houses,92.04,64.68,27.36
47,7,393,Faces,89.24,65.17,24.07
47,7,393,Objects,74.17,68.98,5.19
47,7,393,Houses,91.04,63.68,27.36
48,7,393,Faces,89.76,67.99,21.78
48,7,393,Objects,73.9,68.3,5.6
48,7,393,Houses,94.03,64.18,29.85
49,7,393,Faces,90.76,68.08,22.68
49,7,393,Objects,74.83,69.52,5.31
49,7,393,Houses,94.53,68.66,25.87
50,7,393,Faces,90.09,69.75,20.34
50,7,393,Objects,74.38,69.43,4.95
50,7,393,Houses,94.03,66.67,27.36
51,7,393,Faces,91.23,67.46,23.77
51,7,393,Objects,75.62,70.27,5.35
51,7,393,Houses,94.03,67.16,26.87
52,7,393,Faces,91.18,69.42,21.77
52,7,393,Objects,74.83,69.63,5.2
52,7,393,Houses,96.02,70.65,25.37
53,7,393,Faces,91.37,70.04,21.34
53,7,393,Objects,75.24,70.11,5.13
53,7,393,Houses,95.02,68.66,26.37
54,7,393,Faces,91.04,66.46,24.58
54,7,393,Objects,75.32,70.27,5.04
54,7,393,Houses,95.02,72.64,22.39
55,7,393,Faces,91.9,71.37,20.52
55,7,393,Objects,75.21,70.21,5.0
55,7,393,Houses,96.02,71.14,24.88
56,7,393,Faces,91.9,71.04,20.86
56,7,393,Objects,75.46,70.86,4.61
56,7,393,Houses,95.52,70.65,24.88
57,7,393,Faces,91.94,71.33,20.62
57,7,393,Objects,75.3,70.36,4.95
57,7,393,Houses,96.02,70.65,25.37
58,7,393,Faces,92.13,71.61,20.52
58,7,393,Objects,75.68,70.73,4.95
58,7,393,Houses,96.02,71.14,24.88
59,7,393,Faces,92.04,71.61,20.43
59,7,393,Objects,75.58,70.65,4.94
59,7,393,Houses,96.02,70.15,25.87
60,7,393,Faces,92.13,71.85,20.28
60,7,393,Objects,75.8,70.66,5.14
60,7,393,Houses,96.02,71.14,24.88
