sim,model,category,n_seeds,upright,upright_sem,inverted,inverted_sem,inversion_cost,inversion_cost_sem
yin,r5b_allatonce,Faces,200,96.10345,0.2489673203868391,86.97930000000001,0.43404699228025717,9.12415,0.42943931704329663
yin,r5b_allatonce,Objects,200,82.0623,0.397558735649787,74.52074999999999,0.3726624089477144,7.54155,0.36581127639424393
yin,r5b_allatonce,Houses,200,90.79180000000001,0.34644767100345547,81.9167,0.42232814952285264,8.8751,0.4364594128269273
yin,r7_curriculum,Faces,200,93.10395,0.29470056259782973,80.99995,0.5129665543844798,12.104,0.5188194997943255
yin,r7_curriculum,Objects,200,72.62485,0.5866449577211058,69.2917,0.6801829642635663,3.33315,0.8716860793843516
yin,r7_curriculum,Houses,200,90.29154999999999,0.402932130758379,82.00014999999999,0.45738399401092616,8.2914,0.496013175785446
kanwisher,r5b_allatonce,Faces,200,83.45035,0.0945460026685582,70.96860000000001,0.12289968209599433,12.48175,0.12101765803086907
kanwisher,r5b_allatonce,Objects,200,84.57854999999999,0.14218737014462013,81.71695,0.1324920059691476,2.8616,0.11149798745282424
kanwisher,r5b_allatonce,Houses,200,89.06400000000002,0.17982283296701065,87.48110000000001,0.18644084825889817,1.5828999999999995,0.24364413655243564
kanwisher,r7_curriculum,Faces,200,85.44425,0.0955185119130865,70.813,0.13483768392042753,14.63125,0.12852078684303858
kanwisher,r7_curriculum,Objects,200,85.0174,0.12944514835311832,82.18905,0.12537364452390315,2.82835,0.10254693195687939
kanwisher,r7_curriculum,Houses,200,85.5725,0.19719626157178904,84.44485,0.2088444394446131,1.1276499999999996,0.2609120548948385
