sim,model,n_seeds,face_specific,face_specific_sem,ci_lo,ci_hi
yin,r5b_allatonce,200,0.9158249999999996,0.5082931826411529,-0.06317562500000035,1.9055531249999995
yin,r7_curriculum,200,6.2917250000000005,0.6738223708322879,4.9585225,7.583325625
kanwisher,r5b_allatonce,200,10.259500000000001,0.1732373977520428,9.917123124999998,10.60387625
kanwisher,r7_curriculum,200,12.653249999999998,0.19003831189377884,12.283095,13.019000624999999
